Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Super Mario Sunshine,7,2002.0,4,361,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,1020,1
Street Fighter II: The World Warrior,23,1992.0,2,85,2.47,0.83,2.87,0.12,6.3,70.0,4.0,7.8,4.0,1539,1
World of Warcraft,13,2004.0,7,21,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,217,7
Driver,15,1999.0,0,178,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,1202,7
Gears of War 3,28,2011.0,8,325,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,493,5
Kinect Sports,28,2010.0,10,325,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,1172,2
Gears of War,28,2006.0,8,325,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,493,5
FIFA 15,18,2014.0,10,139,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,449,1
Metal Gear Solid 2: Sons of Liberty,16,2001.0,0,277,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,785,5
Sonic the Hedgehog 2,8,1992.0,4,448,4.47,1.2,0.16,0.19,6.03,70.0,4.0,7.8,4.0,1539,1
Metal Gear Solid,15,1998.0,0,277,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,785,5
Metal Gear Solid 4: Guns of the Patriots,17,2008.0,0,277,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,812,5
Final Fantasy XII,16,2006.0,7,467,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,1365,7
The Last of Us,17,2013.0,0,460,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,989,5
LittleBigPlanet,17,2008.0,4,458,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,1244,1
Resident Evil 2,15,1998.0,0,545,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,268,5
Dragon Quest IX: Sentinels of the Starry Skies,4,2009.0,7,361,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,843,2
Tekken 2,15,1996.0,2,458,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,978,7
Destiny,18,2014.0,8,21,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,258,7
LEGO Star Wars: The Complete Saga,26,2007.0,0,290,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,1511,2
Cooking Mama,4,2006.0,9,6,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,1435,1
Tetris,11,1988.0,5,361,2.97,0.69,1.81,0.11,5.58,70.0,4.0,7.8,4.0,1539,1
Super Smash Bros.,10,1999.0,2,361,2.95,0.6,1.97,0.04,5.55,70.0,4.0,7.8,4.0,1539,1
Assassin's Creed II,17,2009.0,0,528,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,1547,5
Assassin's Creed,28,2007.0,1,528,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,1547,5
Forza Motorsport 3,28,2009.0,6,325,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8,516.0,1528,1
Super Mario Advance,6,2001.0,4,361,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,1020,1
Monster Hunter Freedom Unite,19,2008.0,7,85,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,268,7
Batman: Arkham City,17,2011.0,0,552,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,1227,7
Grand Theft Auto V,30,2014.0,0,497,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,1220,5
Mario Kart: Super Circuit,6,2001.0,6,361,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,735,1
Super Mario World,6,2001.0,4,361,3.21,1.11,0.95,0.2,5.46,70.0,4.0,7.8,4.0,1539,1
Pokemon Stadium,10,1999.0,11,361,3.18,1.24,0.94,0.09,5.45,70.0,4.0,7.8,4.0,1539,1
Crash Bandicoot: The Wrath of Cortex,16,2001.0,4,532,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,1511,1
Call of Duty: World at War,17,2008.0,8,21,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,1514,5
Uncharted 4: A Thief's End,18,2016.0,8,458,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,989,7
Dr. Mario,5,1989.0,5,361,2.18,0.96,2.0,0.2,5.34,70.0,4.0,7.8,4.0,1539,1
Final Fantasy XIII,17,2009.0,7,467,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,1365,7
Pokemon Pinball,5,1999.0,3,361,3.02,1.12,1.01,0.16,5.31,70.0,4.0,7.8,4.0,1539,1
Final Fantasy IX,15,2000.0,7,469,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,1370,7
Assassin's Creed III,28,2012.0,0,528,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,1539,5
Final Fantasy X-2,16,2003.0,7,139,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,1370,7
Donkey Kong 64,10,1999.0,4,361,3.33,0.79,1.09,0.06,5.27,70.0,4.0,7.8,4.0,1539,1
Call of Duty: Advanced Warfare,30,2014.0,8,21,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,1326,5
Minecraft,17,2014.0,3,458,2.03,2.37,0.0,0.87,5.26,70.0,4.0,7.8,4.0,1539,1
Assassin's Creed II,28,2009.0,0,528,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,1547,5
Tomb Raider II,15,1997.0,0,138,2.3,2.46,0.2,0.28,5.24,85.0,13.0,7.8,4.0,322,7
Madden NFL 2004,16,2008.0,10,139,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,453,1
Tomodachi Life,2,2013.0,9,361,0.97,2.11,1.9,0.24,5.23,70.0,4.0,7.8,4.0,1539,1
New Super Mario Bros. U,27,2012.0,4,361,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,1020,1
Dragon Quest VIII: Journey of the Cursed King,16,2004.0,7,467,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,843,7
Super Mario Bros. 3,6,2003.0,4,361,2.93,1.25,0.83,0.2,5.2,70.0,4.0,7.8,4.0,1539,1
Professor Layton and the Curious Village,4,2007.0,5,361,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,843,1
Super Mario Land 3: Wario Land,5,1994.0,4,361,2.49,0.98,1.57,0.15,5.19,70.0,4.0,7.8,4.0,1539,1
FIFA Soccer 13,28,2012.0,0,139,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,477,1
Donkey Kong Country 2: Diddy's Kong Quest,23,1995.0,4,361,2.1,0.74,2.2,0.11,5.15,70.0,4.0,7.8,4.0,1539,1
Diablo III,13,2012.0,7,21,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4,9629.0,217,5
